country,incidents,deaths,mean_severity,recent,recency,frequency_n,lethality_n,intensity_n,recency_n,pressure_index
Belgium,154,79.0,2.188311688311688,13.0,0.08441558441558442,0.4618689631143024,0.3887532588936351,0.02701619368286035,0.08441558441558442,0.3180883296285782
Bolivia,314,42.0,0.3980891719745223,4.0,0.012738853503184714,0.5371591481161574,0.3336763840632858,0.00491468113548793,0.012738853503184714,0.31761460466124963
Ecuador,220,54.0,0.425,13.0,0.05909090909090909,0.4995314487699435,0.35551217852140543,0.005246913580246914,0.05909090909090909,0.3161169064650724
Croatia,57,248.0,4.991228070175438,5.0,0.08771929824561403,0.3575057631367199,0.48948305729602465,0.06162009963179554,0.08771929824561403,0.31224813212510677
Australia,114,23.0,0.6973684210526315,41.0,0.35964912280701755,0.4301779656336622,0.2819423263453328,0.008609486679662118,0.35964912280701755,0.31189267558006667
Rhodesia,83,217.0,3.566265060240964,0.0,0.0,0.3968283443758773,0.4776876494982166,0.044027963706678566,0.0,0.30864182715581767
Kazakhstan,27,39.0,1.8333333333333333,17.0,0.6296296296296297,0.2801886891504412,0.3272604274253327,0.022633744855967076,0.6296296296296297,0.3080931100606158
Zaire,50,324.0,8.59,0.0,0.0,0.3438504574752877,0.5131143819871133,0.10604938271604938,0.0,0.30738190499365653
Cyprus,132,45.0,0.4962121212121212,20.0,0.15151515151515152,0.4456168869914199,0.3396594644685411,0.006126075570520015,0.15151515151515152,0.30379077819998096
Morocco,36,292.0,10.88888888888889,2.0,0.05555555555555555,0.3097796881825991,0.5039188021727039,0.13443072702331962,0.05555555555555555,0.3035854583116821
Djibouti,22,274.0,16.136363636363637,3.0,0.13636363636363635,0.25930395926272987,0.4982941115418307,0.19921436588103256,0.13636363636363635,0.3035465175043415
Macedonia,118,49.0,0.6694915254237288,19.0,0.16101694915254236,0.43380806247224873,0.3470566975091529,0.008265327474367022,0.16101694915254236,0.30303257573568176
Guinea,25,213.0,9.66,5.0,0.2,0.2723206465200919,0.4760447247121932,0.11925925925925926,0.2,0.2996305649105836
Switzerland,111,74.0,1.09009009009009,6.0,0.05405405405405406,0.4273715470065295,0.3830276979812757,0.013457902346791235,0.05405405405405406,0.2959837216571213
Papua New Guinea,89,79.0,1.398876404494382,8.0,0.0898876404494382,0.40415331682180444,0.3887532588936351,0.017270079067831876,0.0898876404494382,0.29436096232440284
Mauritania,18,43.0,3.1666666666666665,11.0,0.6111111111111112,0.23901962676902275,0.33571590843758514,0.03909465020576131,0.6111111111111112,0.29385348743641554
Netherlands,130,37.0,0.5076923076923077,16.0,0.12307692307692308,0.44400822001047,0.32270992214205413,0.0062678062678062675,0.12307692307692308,0.2938179740485137
Liberia,34,177.0,5.735294117647059,4.0,0.11764705882352941,0.3038798376652852,0.45970401597237137,0.07080610021786493,0.11764705882352941,0.28773111371403465
Austria,115,30.0,0.808695652173913,16.0,0.1391304347826087,0.43109719206476405,0.3046475587755061,0.00998389694041868,0.1391304347826087,0.28620029421701154
Soviet Union,78,96.0,2.1923076923076925,0.0,0.0,0.3903128039794041,0.40584732811009827,0.02706552706552707,0.0,0.28193914908462014
Finland,20,11.0,1.225,15.0,0.75,0.24964548651978902,0.22044949487703028,0.015123456790123458,0.75,0.28076156158954324
Albania,80,42.0,1.3125,11.0,0.1375,0.3929671919737002,0.3336763840632858,0.016203703703703703,0.1375,0.2803453475640214
Kuwait,76,63.0,2.8026315789473686,4.0,0.05263157894736842,0.3875903473887284,0.36895698880981487,0.03460038986354776,0.05263157894736842,0.2788080309200733
Panama,127,38.0,0.6259842519685039,2.0,0.015748031496062992,0.4415485735682649,0.3250143478866882,0.007728200641586468,0.015748031496062992,0.2776451686139599
United Arab Emirates,22,123.0,6.204545454545454,5.0,0.22727272727272727,0.25930395926272987,0.4276332217121111,0.0765993265993266,0.22727272727272727,0.2775923582995333
Portugal,140,32.0,0.5678571428571428,2.0,0.014285714285714285,0.4518183570001332,0.3101940774414055,0.0070105820105820105,0.014285714285714285,0.2769800104769194
Taiwan,50,60.0,2.07,6.0,0.12,0.3438504574752877,0.3646978315815235,0.025555555555555554,0.12,0.2687828657979055
Bulgaria,52,28.0,0.8846153846153846,13.0,0.25,0.34793442210943387,0.2987310066095962,0.010921177587844255,0.25,0.26793124746482905
Zambia,62,70.0,1.6290322580645162,2.0,0.03225806451612903,0.3662851417452251,0.3781653631923801,0.020111509358821188,0.03225806451612903,0.2678191017370466
Serbia,12,3.0,0.625,12.0,1.0,0.19872921759204776,0.12298566293660497,0.007716049382716049,1.0,0.267544793325208
